GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER ORCID ID,SAMPLING EVENT IDENTIFIER,OBSERVATION TYPE,PROTOCOL NAME,PROTOCOL CODE,PROJECT NAMES,PROJECT IDENTIFIERS,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,CHECKLIST COMMENTS,SPECIES COMMENTS
,2025-10-09 02:12:13.561293,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6949387,-147.1209713,2023-06-25,09:34:00,,,,Traveling,Traveling,,,,60.0,1.95,,1.0,1,,,1,0,,,
,2025-09-05 04:24:20.181173,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2026-02-05 18:11:43.253809,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-29,06:12:00,,,,Traveling,Traveling,,,,79.0,3.041,,1.0,1,,,1,0,,,
,2025-10-09 02:39:11.300304,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-16,10:11:00,,,,Traveling,Traveling,,,,128.0,4.252,,1.0,1,,,1,0,,,
,2024-04-19 19:59:21.904766,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.8643458,-147.8634453,2023-06-15,08:15:00,,,,Traveling,Traveling,,,,50.0,2.366,,1.0,1,,,1,0,,,
,2025-09-04 23:25:09.023085,,,,bird_1,,,,,4.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,65.1016367,-147.446695,2023-06-17,15:09:00,,,,Traveling,Traveling,,,,58.0,0.536,,12.0,1,,,1,0,,,
,2025-10-09 02:08:59.998446,,,,bird_1,,,,,2.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-18,10:07:00,,,,Traveling,Traveling,,,,109.0,2.398,,1.0,1,,,1,0,,,
,2025-09-05 05:09:38.919144,,,,bird_1,,,,,4.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,65.1016367,-147.446695,2023-06-17,15:09:00,,,,Traveling,Traveling,,,,58.0,0.536,,12.0,1,,,1,0,,,
,2025-09-05 11:05:00.041324,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.924584,-147.862939,2023-06-14,12:34:00,,,,Traveling,Traveling,,,,26.0,1.429,,1.0,1,,,1,0,,,
,2026-02-05 18:11:43.253809,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.8666675,-147.7306822,2023-06-28,07:05:00,,,,Traveling,Traveling,,,,75.0,0.697,,1.0,1,,,1,0,,,
,2025-10-09 02:09:00.305741,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-18,10:54:00,,,,Traveling,Traveling,,,,55.0,0.823,,3.0,1,,,1,0,,,
,2025-09-05 05:09:38.919144,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2025-09-04 20:10:58.278021,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.667878,-147.025148,2023-06-17,07:58:00,,,,Traveling,Traveling,,,,17.0,0.362,,3.0,1,,,1,0,,,
,2025-09-05 05:10:17.995597,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2025-10-09 02:17:22.435611,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2025-09-05 04:56:38.662698,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2025-09-05 08:01:58.448248,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.667878,-147.025148,2023-06-17,07:58:00,,,,Traveling,Traveling,,,,17.0,0.362,,3.0,1,,,1,0,,,
,2025-10-09 02:09:11.904696,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6767312,-147.0656225,2023-06-17,10:35:00,,,,Traveling,Traveling,,,,13.0,0.192,,3.0,1,,,1,0,,,
,2025-10-09 02:15:10.437966,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6767312,-147.0656225,2023-06-17,10:35:00,,,,Traveling,Traveling,,,,13.0,0.192,,3.0,1,,,1,0,,,
,2026-02-05 18:11:43.253809,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-25,09:53:00,,,,Traveling,Traveling,,,,170.0,1.044,,2.0,1,,,1,0,,,
,2025-10-09 02:24:38.361091,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6767312,-147.0656225,2023-06-17,10:35:00,,,,Traveling,Traveling,,,,13.0,0.192,,3.0,1,,,1,0,,,
,2025-09-05 06:43:27.892398,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.667878,-147.025148,2023-06-17,07:58:00,,,,Traveling,Traveling,,,,17.0,0.362,,3.0,1,,,1,0,,,
,2025-09-05 05:08:17.678083,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-17,11:10:00,,,,Traveling,Traveling,,,,72.0,0.576,,12.0,1,,,1,0,,,
,2025-09-05 03:38:37.344398,,,,bird_1,,,,,2.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.924584,-147.862939,2023-06-22,18:53:00,,,,Traveling,Traveling,,,,25.0,0.894,,1.0,1,,,1,0,,,
,2025-10-09 02:07:16.955105,,,,bird_1,,,,,3.0,S ,C2,S ,"Unknown Sex, Adult (3)",United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,65.1027111,-147.4507499,2023-06-15,09:47:00,,,,Traveling,Traveling,,,,65.0,1.609,,1.0,1,,,1,0,,,
,2025-09-05 04:12:08.379797,,,,bird_1,,,,,4.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,65.1016367,-147.446695,2023-06-17,15:09:00,,,,Traveling,Traveling,,,,58.0,0.536,,12.0,1,,,1,0,,,
,2025-09-05 05:27:57.470028,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,65.127445,-147.49987,2023-06-20,09:54:00,,,,Traveling,Traveling,,,,16.0,0.21,,1.0,1,,,1,0,,,
,2025-10-09 02:06:41.362912,,,,bird_1,,,,,3.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.844091,-148.0113068,2023-06-14,09:11:00,,,,Traveling,Traveling,,,,22.0,0.402,,1.0,1,,,1,0,,,
,2025-10-09 02:08:37.835218,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6767312,-147.0656225,2023-06-17,10:35:00,,,,Traveling,Traveling,,,,13.0,0.192,,3.0,1,,,1,0,,,
,2025-09-05 11:04:58.921335,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.6728716,-147.0408983,2023-06-14,07:48:00,,,,Traveling,Traveling,,,,153.0,1.887,,4.0,1,,,1,0,,,
,2026-02-05 18:11:43.253809,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-20,11:08:00,,,,Traveling,Traveling,,,,96.0,2.745,,2.0,1,,,1,0,,,
,2026-02-05 18:11:43.253809,,,,bird_1,,,,,1.0,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-18,10:53:00,,,,Traveling,Traveling,,,,64.0,1.287,,3.0,1,,,1,0,,,
