GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER ORCID ID,SAMPLING EVENT IDENTIFIER,OBSERVATION TYPE,PROTOCOL NAME,PROTOCOL CODE,PROJECT NAMES,PROJECT IDENTIFIERS,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,CHECKLIST COMMENTS,SPECIES COMMENTS
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-10-28 05:46:18.191228,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,,,,,Historical,Historical,,,,,,,,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-10-13 00:47:30.602016,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,62.1076959,-145.5292454,2023-06-19,21:24:00,,,,Stationary,Stationary,,,,8.0,,,1.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-11-13 14:48:06.798213,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2026-01-21 01:46:10.241676,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-10-13 00:48:42.362867,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0557955,-145.7650566,2023-06-29,07:29:00,,,,Traveling,Traveling,,,,162.0,2.77,,1.0,1,,,1,0,,,
,2025-10-13 00:48:12.649532,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0557955,-145.7650566,2023-06-26,11:00:00,,,,Traveling,Traveling,,,,120.0,4.828,,1.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2025-05-21 17:36:17.996288,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Copper River Census Area,US-AK-066,,,,,,,,63.0507586,-145.985899,2023-06-16,09:00:00,,,,Traveling,Traveling,,,,420.0,16.093,,16.0,1,,,1,0,,,
,2024-04-19 21:55:00.950515,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Denali Borough,US-AK-068,,,,,,,,63.5356537,-149.8287554,2023-06-16,11:29:00,,,,Stationary,Stationary,,,,60.0,,,3.0,1,,,1,0,,,
,2024-04-19 21:55:00.950515,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Denali Borough,US-AK-068,,,,,,,,63.5356537,-149.8287554,2023-06-16,11:29:00,,,,Stationary,Stationary,,,,60.0,,,3.0,1,,,1,0,,,
